Model,Accuracy,F1-Score,Recall,Precision,R2-Score
SVM,0.9230769230769231,0.9411764705882353,0.8888888888888888,1.0,0.6388888888888888
XGBoost,0.8974358974358975,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.5185185185185184
Random Forest,0.8974358974358975,0.923076923076923,0.8888888888888888,0.96,0.5185185185185184
Decision Tree,0.8461538461538461,0.8800000000000001,0.8148148148148148,0.9565217391304348,0.2777777777777777
KNN,0.8461538461538461,0.8800000000000001,0.8148148148148148,0.9565217391304348,0.2777777777777777
Logistic Regression,0.7692307692307693,0.8163265306122449,0.7407407407407407,0.9090909090909091,-0.08333333333333348
Naive Bayes,0.6410256410256411,0.6666666666666667,0.5185185185185185,0.9333333333333333,-0.6851851851851853
